PRODUCT,furtherDesc,TYPE,MATERIAL,1.5,1.6,1.67,1.74,EYELT,3DFF,RFP,21BC,PDOI,PO,FDT,INDILT,BIGN
MYCON 2 INDIVIDUAL,A myopia control lens which is ideal for complex prescription and wanting to see as clear as possible.,MYO,UV 400,1945,2130,2645,3750,N,Y,N,Y,N,N,N,Y,N
MYCON 2 INDIVIDUAL,A myopia control lens which is ideal for complex prescription and wanting to see as clear as possible.,MYO,PRO 410,-,-,-,-,N,Y,N,Y,N,N,N,Y,N
MYCON 2 INDIVIDUAL,A myopia control lens which is ideal for complex prescription and wanting to see as clear as possible.,MYO,COLORMATIC,2570,3060,3450,-,N,Y,N,Y,N,N,N,Y,N
MYCON 2 INDIVIDUAL,A myopia control lens which is ideal for complex prescription and wanting to see as clear as possible.,MYO,COLORMATIC SUN,-,3160,-,-,N,Y,N,Y,N,N,N,Y,N
MYCON 2 INDIVIDUAL,A myopia control lens which is ideal for complex prescription and wanting to see as clear as possible.,MYO,POLARISED,-,3060,-,-,N,Y,N,Y,N,N,N,N,N
MYCON,A myopia control lens which is using standar optical calculation.,MYO,UV 400,1445,1630,2145,3250,N,Y,N,N,N,N,N,N,N
MYCON,A myopia control lens which is using standar optical calculation.,MYO,PRO 410,-,1830,2345,-,N,Y,N,N,N,N,N,N,N
MYCON,A myopia control lens which is using standar optical calculation.,MYO,COLORMATIC,2070,2560,2950,-,N,Y,N,N,N,N,N,N,N
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,UV 400,4250,4600,5000,6500,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,PRO 410,-,4800,5200,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,COLORMATIC,5050,5400,5800,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,COLORMATIC SUN,-,5500,-,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,POLARISED,-,5400,-,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
IMPRESSION BIG NORM,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,PAL,ROAD,4450,4800,5200,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",Y,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,UV 400,3700,4050,4450,5950,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,PRO 410,-,4250,4650,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,COLORMATIC,4500,4850,5250,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,COLORMATIC SUN,-,4950,-,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,POLARISED,-,4850,-,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
MULTIGRESSIV BIG NORM,Almost the best lens in Rodenstock's progressive range. May be affected by spectacle frame tilt.,PAL,ROAD,3900,4250,4650,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,Y
IMPRESSION 2,The best Rodenstock's progressive design before the BIG NORM era.,PAL,UV 400,3400,3800,4200,-,Y,Y,Y,Y,Y,Y,Balance,Y,N
IMPRESSION 2,The best Rodenstock's progressive design before the BIG NORM era.,PAL,PRO 410,-,4000,4400,-,Y,Y,Y,Y,Y,Y,Balance,Y,N
IMPRESSION 2,The best Rodenstock's progressive design before the BIG NORM era.,PAL,COLORMATIC,4200,4600,5000,-,Y,Y,Y,Y,Y,Y,Balance,Y,N
MULTIGRESSIV MYLIFE 2,Almost an equal to Impression 2 except that it may be affected by spectacle frame tilt.,PAL,UV 400,3100,3500,3900,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,N
MULTIGRESSIV MYLIFE 2,Almost an equal to Impression 2 except that it may be affected by spectacle frame tilt.,PAL,PRO 410,-,3700,4100,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,N
MULTIGRESSIV MYLIFE 2,Almost an equal to Impression 2 except that it may be affected by spectacle frame tilt.,PAL,COLORMATIC,3900,4300,4700,-,Y,Y,Y,Y,Y,Y,"Balance, Near, Far",N,N
MULTIGRESSIV MYVIEW 2,A standard design that is customized to your preferred near vision length.,PAL,UV 400,2800,3200,3600,-,Y,Y,Y,Y,Y,N,Balance,N,N
MULTIGRESSIV MYVIEW 2,A standard design that is customized to your preferred near vision length.,PAL,PRO 410,-,3400,3800,-,Y,Y,Y,Y,Y,N,Balance,N,N
MULTIGRESSIV MYVIEW 2,A standard design that is customized to your preferred near vision length.,PAL,COLORMATIC,3600,4000,4400,-,Y,Y,Y,Y,Y,N,Balance,N,N
PURELIFE FREE 2,A standard design that functions reliably for day to day use.,PAL,UV 400,2100,2500,2900,-,Y,Y,Y,Y,N,N,Balance,N,N
PURELIFE FREE 2,A standard design that functions reliably for day to day use.,PAL,PRO 410,-,2700,3100,-,Y,Y,Y,Y,N,N,Balance,N,N
PURELIFE FREE 2,A standard design that functions reliably for day to day use.,PAL,COLORMATIC,2900,3300,3700,-,Y,Y,Y,Y,N,N,Balance,N,N
LIFE FREE 2,An entry level to experience Rodenstock's premium progressive vision.,PAL,UV 400,1700,2100,2500,-,Y,Y,Y,N,N,N,Balance,N,N
LIFE FREE 2,An entry level to experience Rodenstock's premium progressive vision.,PAL,PRO 410,-,2300,2700,-,Y,Y,Y,N,N,N,Balance,N,N
LIFE FREE 2,An entry level to experience Rodenstock's premium progressive vision.,PAL,COLORMATIC,2500,2900,3300,-,Y,Y,Y,N,N,N,Balance,N,N
IMPRESSION BIG NORM ERGO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,NPAL,UV 400,3650,4000,4400,5900,Y,Y,Y,Y,Y,Y,N,Y,Y
IMPRESSION BIG NORM ERGO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,NPAL,PRO 410,-,4200,4600,-,Y,Y,Y,Y,Y,Y,N,Y,Y
MULTIGRESSIV BIG NORM ERGO,Almost the best lens in Rodenstock's near progressive range. May be affected by spectacle frame tilt.,NPAL,UV 400,3050,3400,3800,5300,Y,Y,Y,Y,Y,Y,N,N,Y
MULTIGRESSIV BIG NORM ERGO,Almost the best lens in Rodenstock's near progressive range. May be affected by spectacle frame tilt.,NPAL,PRO 410,-,3600,4000,-,Y,Y,Y,Y,Y,Y,N,N,Y
MULTIGRESSIV ERGO 2,A standard design that is customized to your preferred intermediate  vision length.,NPAL,UV 400,2300,2700,3100,-,Y,Y,Y,Y,Y,N,N,N,N
